SIGNATURE : 00010001010163 02
SWT_EINTRAG : 1157 "ALC_EIN_DAEMMERUNGSSTUFE"
SWT_EINTRAG : 0E24 "ALC_EINSCHALTBEDINGUNG"
SWT_EINTRAG : 1158 "ALC_ENPRELL_AL_NIO"
SWT_EINTRAG : 1159 "ALC_ENPRELL_AL_OK"
SWT_EINTRAG : 0E25 "ALC_EPSILON_DELTA_A"
SWT_EINTRAG : 0E26 "ALC_EPSILON_DELTA_AV"
SWT_EINTRAG : 1195 "ALC_ERR_BLK_AL_EIN"
SWT_EINTRAG : 05C4 "ALC_ERR_BLK_FREQ"
SWT_EINTRAG : 115A "ALC_ERR_NSW_ZUSCHALTEN"
SWT_EINTRAG : 0600 "ALC_FAHRZEUG"
SWT_EINTRAG : 115B "ALC_FAILSAVE"
SWT_EINTRAG : 0FDE "ALC_FAILSAVE_AHL"
SWT_EINTRAG : 0E27 "ALC_GRADIENT_SCHLECHTWEG"
SWT_EINTRAG : 0E28 "ALC_HOEHENWEG"
SWT_EINTRAG : 0E29 "ALC_KENNLIN_LWR_SENSOR_HI"
SWT_EINTRAG : 0E2A "ALC_KENNLIN_LWR_SENSOR_VO"
SWT_EINTRAG : 0E2B "ALC_KLS_ENABLE"
SWT_EINTRAG : 0E2E "ALC_LWR_NEIGUNG_KONSTANTE"
SWT_EINTRAG : 0E2F "ALC_LWR_VORZEICHEN"
SWT_EINTRAG : 0E30 "ALC_MIN_STEIGUNG_VZ_WECHS"
SWT_EINTRAG : 0E31 "ALC_MINDESTANZAHL_VZ_WECH"
SWT_EINTRAG : 0E32 "ALC_MITTELUNGSINT_VZ_WECH"
SWT_EINTRAG : 0E33 "ALC_MITTELUNGSINTERV_DYN"
SWT_EINTRAG : 0E34 "ALC_MITTELUNGSINTERV_TREN"
SWT_EINTRAG : 0E35 "ALC_NACHLAUF_SCHLECHTWEG"
SWT_EINTRAG : 0F91 "ALC_NSW_BEDIEN_MOEGL"
SWT_EINTRAG : 0F92 "ALC_NSW_SPERREN"
SWT_EINTRAG : 0E36 "ALC_OFFSET_LWR"
SWT_EINTRAG : 14B8 "ALC_OFFSET_LWR_34"
SWT_EINTRAG : 115C "ALC_REF_LAUF_AL_AUS"
SWT_EINTRAG : 0E37 "ALC_SAETT_TIMER_SCHLECHTW"
SWT_EINTRAG : 0E38 "ALC_SCHW_GRAD_BESCHLEUNIG"
SWT_EINTRAG : 0E39 "ALC_SCHW_GRAD_BREMSEN"
SWT_EINTRAG : 0E3A "ALC_SCHW_GRAD_SCHLECHTWEG"
SWT_EINTRAG : 0E3B "ALC_SCHW_PROP_ABWEICHUNG"
SWT_EINTRAG : 0E3C "ALC_SCHW_TREND"
SWT_EINTRAG : 0D9F "ALC_SCHWENK_BEI_S_FLC"
SWT_EINTRAG : 1196 "ALC_SCHWENK_IM_STAND"
SWT_EINTRAG : 0E3D "ALC_SCHWENK_LATCH"
SWT_EINTRAG : 13DF "ALC_SG_VERBAUT"
SWT_EINTRAG : 0E3E "ALC_VMAX_BESCHLEUNIGUNG"
SWT_EINTRAG : 0E3F "ALC_VMAX_BREMSEN"
SWT_EINTRAG : 0E40 "ALC_VMIN_BESCHLEUNIGUNG"
SWT_EINTRAG : 0E41 "ALC_VMIN_BREMSEN"
SWT_EINTRAG : 115D "ALC_ZUSTANDS_AUTOM"
SWT_EINTRAG : 0CDA "ALGOPARAM_FRONT_1_SBSL"
SWT_EINTRAG : 0CE9 "ALGOPARAM_FRONT_1_SBSR"
SWT_EINTRAG : 0CF9 "ALGOPARAM_FRONT_1_SFZ"
SWT_EINTRAG : 0CDB "ALGOPARAM_FRONT_2_SBSL"
SWT_EINTRAG : 0CEA "ALGOPARAM_FRONT_2_SBSR"
SWT_EINTRAG : 0CFA "ALGOPARAM_FRONT_2_SFZ"
SWT_EINTRAG : 0CDC "ALGOPARAM_FRONT_3_SBSL"
SWT_EINTRAG : 0CEB "ALGOPARAM_FRONT_3_SBSR"
SWT_EINTRAG : 0CFB "ALGOPARAM_FRONT_3_SFZ"
SWT_EINTRAG : 0CDD "ALGOPARAM_FRONT_4_SBSL"
SWT_EINTRAG : 0CEC "ALGOPARAM_FRONT_4_SBSR"
